央视频道,#genre#
赌侠,https://p.bvvvvvvvvv1f.com/video/duxia/HD国语版/index.m3u8
霹雳先锋,https://p.bvvvvvvvvv1f.com/video/pilixianfeng/HD国语/index.m3u8
僵尸先生,https://p.bvvvvvvvvv1f.com/video/xinjiangshixiansheng/HD国语/index.m3u8
僵尸至尊,https://p.bvvvvvvvvv1f.com/video/jiangshizhizun/HD国语/index.m3u8
灵幻先生,https://p.bvvvvvvvvv1f.com/video/linghuanxiansheng/HD国语/index.m3u8
一眉道人,https://p.bvvvvvvvvv1f.com/video/yimeidaoren/HD国语/index.m3u8
驱魔警察,https://p.bvvvvvvvvv1f.com/video/qumojingcha/HD国语/index.m3u8
鬼咬鬼,https://c1.rrcdnbf2.com/video/guiyaogui/HD国语/index.m3u8
人吓鬼,https://p.bvvvvvvvvv1f.com/video/renxiagui/HD国语/index.m3u8
僵尸家族,https://c1.ddbbffcdn.com/video/jiangshijiazu/HD中字/index.m3u8
驱魔道长,https://p.bvvvvvvvvv1f.com/video/qumodaochang/HD国语/index.m3u8
尖峰时刻,https://p.bvvvvvvvvv1f.com/video/jianfengshike/HD中字/index.m3u8
尖峰时刻2,https://p.bvvvvvvvvv1f.com/video/jianfengshike2/HD/index.m3u8
尖峰时刻3,https://p.bvvvvvvvvv1f.com/video/jianfengshike3/HD中字/index.m3u8
龙的心,https://p.bvvvvvvvvv1f.com/video/longdexin/HD国语/index.m3u8
双龙会,https://c1.rrcdnbf2.com/video/shuanglonghui/HD国语/index.m3u8
红番区,https://p.bvvvvvvvvv1f.com/video/hongfanqu/HD国语/index.m3u8
飞鹰计划,https://c1.rrcdnbf2.com/video/feiyingjihua/HD国语/index.m3u8
A计划,https://p.bvvvvvvvvv1f.com/video/Ajihua/HD国语/index.m3u8
警察故事2013,https://p.bvvvvvvvvv1f.com/video/jingchagushi2013/HD国语/index.m3u8
终结者,https://c1.ddbbffcdn.com/video/zhongjiezhe/HD中字/index.m3u8
终结者2：审判日,https://c1.ddbbffcdn.com/video/zhongjiezhe2shenpanri/HD中字/index.m3u8
终结者3,https://c1.ddbbffcdn.com/video/zhongjiezhe3/HD中字/index.m3u8
终结者：创世纪,https://c1.rrcdnbf2.com/video/zhongjiezhechuangshiji/HD国语/index.m3u8
终结者：黑暗命运,https://c1.rrcdnbf2.com/video/zhongjiezheheianmingyun/HD国语/index.m3u8
鬼吹灯之寻龙诀,https://p.bvvvvvvvvv1f.com/video/guichuidengzhixunlongjue/HD国语/index.m3u8
鬼吹灯之南海归墟,https://c1.ddbbffcdn.com/video/guichuidengzhinanhaiguixu/HD国语/index.m3u8
鬼吹灯之龙岭迷窟,https://p.bvvvvvvvvv1f.com/video/guichuidengzhilonglingmiku/HD国语版/index.m3u8
鬼吹灯之黄皮子坟,https://p.bvvvvvvvvv1f.com/video/guichuidengzhihuangpizifen/HD国语/index.m3u8
鬼吹灯之湘西密藏,https://p.bvvvvvvvvv1f.com/video/guichuidengzhixiangximicang/HD/index.m3u8
鬼吹灯之巫峡棺山,https://c1.rrcdnbf6.com/video/guichuidengzhiwuxiaguanshan/HD国语/index.m3u8
鬼吹灯之怒晴湘西,https://c1.rrcdnbf2.com/video/guichuidengzhinuqingxiangxi/HD国语/index.m3u8
鬼吹灯之精绝古城,https://p.bvvvvvvvvv1f.com/video/guichuidengzhijingjuegucheng/HD国语/index.m3u8
鬼吹灯之龙岭神宫,https://c1.rrcdnbf6.com/video/guichuidengzhilonglingshengong/HD国语/index.m3u8

















韩国女团,#genre#
歌团★021,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239808028600.mp4
歌团★022,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240031614983.mp4
歌团★023,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240150331617.mp4
歌团★024,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239809100782.mp4
歌团★026,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240033362815.mp4
歌团★027,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240151167938.mp4
歌团★029,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239811800375.mp4
歌团★030,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239916285148.mp4
歌团★031,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239927589941.mp4
歌团★033,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240171579858.mp4
歌团★034,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239831144046.mp4
歌团★035,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240056530470.mp4
歌团★036,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239832040344.mp4
歌团★037,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240173879894.mp4
歌团★038,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240057078179.mp4
歌团★042,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239834716201.mp4
歌团★043,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239837532125.mp4
歌团★045,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240063650207.mp4
歌团★048,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239944465251.mp4
歌团★049,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240065122134.mp4
歌团★050,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239840536452.mp4
歌团★051,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240065838644.mp4
歌团★052,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239945877111.mp4
歌团★053,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240184339138.mp4
歌团★054,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239842640589.mp4
歌团★056,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240187071401.mp4
歌团★057,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240069974546.mp4
歌团★058,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240070346911.mp4
歌团★059,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240070818783.mp4
歌团★060,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239846692034.mp4
歌团★061,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239951329234.mp4
歌团★062,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240191295627.mp4
歌团★064,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240192067467.mp4
歌团★065,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239911732892.mp4
歌团★066,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240196491782.mp4
歌团★067,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239960909980.mp4
歌团★068,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240017737344.mp4
歌团★069,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240202339353.mp4
歌团★070,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240203243765.mp4
歌团★071,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240205555546.mp4
歌团★072,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239983417489.mp4
歌团★074,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240221687198.mp4
歌团★075,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240222023079.mp4
歌团★076,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240107150280.mp4
歌团★078,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239987569147.mp4
歌团★079,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240225803033.mp4
歌团★080,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239989445779.mp4
歌团★081,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240229579224.mp4
歌团★082,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239993533054.mp4
歌团★083,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239994225085.mp4
歌团★084,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239994741288.mp4
歌团★085,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239995197198.mp4
歌团★086,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240232939168.mp4
