分类: 📡卫视频道, 名称: 四川卫视, 有效: 2, IPv4: 32, IPv6: 0, 最小延迟: 326 ms, 最高速率: 1.08 M/s, 平均速率: 0.99 M/s, bitrate: 7894 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 天津卫视, 有效: 2, IPv4: 38, IPv6: 0, 最小延迟: 325 ms, 最高速率: 1.36 M/s, 平均速率: 1.11 M/s, bitrate: 7020 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河北卫视, 有效: 1, IPv4: 29, IPv6: 0, 最小延迟: 277 ms, 最高速率: 2.73 M/s, 平均速率: 1.07 M/s, bitrate: 4403 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 有效: 0, IPv4: 25, IPv6: 0, 最小延迟: 354 ms, 最高速率: 0.69 M/s, 平均速率: 0.00 M/s, bitrate: 0 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 1, IPv4: 27, IPv6: 0, 最小延迟: 320 ms, 最高速率: 1.35 M/s, 平均速率: 1.35 M/s, bitrate: 4308 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 福建卫视, 有效: 0, IPv4: 27, IPv6: 0, 最小延迟: 321 ms, 最高速率: 0.87 M/s, 平均速率: 0.00 M/s, bitrate: 0 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 1, IPv4: 38, IPv6: 0, 最小延迟: 328 ms, 最高速率: 1.19 M/s, 平均速率: 0.82 M/s, bitrate: 2657 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 40.62, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 有效: 1, IPv4: 38, IPv6: 0, 最小延迟: 329 ms, 最高速率: 1.30 M/s, 平均速率: 1.30 M/s, bitrate: 4549 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 1, IPv4: 32, IPv6: 0, 最小延迟: 327 ms, 最高速率: 1.12 M/s, 平均速率: 1.12 M/s, bitrate: 5534 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 2, IPv4: 29, IPv6: 0, 最小延迟: 345 ms, 最高速率: 1.11 M/s, 平均速率: 1.03 M/s, bitrate: 2754 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海南卫视, 有效: 0, IPv4: 24, IPv6: 0, 最小延迟: 321 ms, 最高速率: 1.09 M/s, 平均速率: 0.00 M/s, bitrate: 0 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 0, IPv4: 27, IPv6: 0, 最小延迟: 332 ms, 最高速率: 1.02 M/s, 平均速率: 0.00 M/s, bitrate: 0 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 1, IPv4: 29, IPv6: 0, 最小延迟: 334 ms, 最高速率: 0.85 M/s, 平均速率: 0.85 M/s, bitrate: 1803 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 27.27, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 0, IPv4: 18, IPv6: 0, 最小延迟: 339 ms, 最高速率: 0.70 M/s, 平均速率: 0.00 M/s, bitrate: 0 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 2, IPv4: 29, IPv6: 0, 最小延迟: 321 ms, 最高速率: 2.45 M/s, 平均速率: 1.73 M/s, bitrate: 2353 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 2, IPv4: 30, IPv6: 0, 最小延迟: 328 ms, 最高速率: 1.25 M/s, 平均速率: 1.05 M/s, bitrate: 7581 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 0, IPv4: 27, IPv6: 0, 最小延迟: 331 ms, 最高速率: 0.79 M/s, 平均速率: 0.00 M/s, bitrate: 0 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 2, IPv4: 38, IPv6: 0, 最小延迟: 343 ms, 最高速率: 0.83 M/s, 平均速率: 0.83 M/s, bitrate: 3847 kbps, content verified: 0, 最高分辨率: 1920x1080, 平均帧率: 39.44, 视频编解码器: h264, 音频编解码器: mp2
